data_extracao;linha;sentido;numero_sequencia;tipo;nome;endereco_logradouro;codigo
2025-11-19 01:58:34.480051;2726;CENTROBAIRRO;1;TERMINAL/PARADA;TERM. B. DE MEDEIROS DF Nº 688;BORGES DE MEDEIROS                   ;666
2025-11-19 01:58:34.480051;341;CENTROBAIRRO;1;TERMINAL/PARADA;TERM. BORGES DE MEDEIROS;AV BORGES DE MEDEIROS;86
2025-11-19 01:58:34.480051;2816;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM. BORGES DE MEDEIROS;AV BORGES DE MEDEIROS;61
2025-11-19 01:58:34.480051;2811;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM. BORGES DE MEDEIROS;AV BORGES DE MEDEIROS;61
2025-11-19 01:58:34.480051;1761;CENTROBAIRRO;99999;TERMINAL/PARADA;TERMINAL CARIJOS/PRACA MOEMA;MOEMA                                ;1762
2025-11-19 01:58:34.480051;171;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL SEN. SALGADO FILHO;AV SENADOR SALGADO FILHO;203
2025-11-19 01:58:34.480051;173;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL SALGADO FILHO;SENADOR SALGADO FILHO                ;204
2025-11-19 01:58:34.480051;3946;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL SENADOR SALGADO FILHO;SENADOR SALGADO FILHO                ;54
2025-11-19 01:58:34.480051;264;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL SENADOR SALGADO FILHO;SENADOR SALGADO FILHO                ;55
2025-11-19 01:58:34.480051;49232;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM.CENTRO PCA PEREIRA PAROBE;PEREIRA PAROBE                       ;158
2025-11-19 01:58:34.480051;4291;CENTROBAIRRO;1;TERMINAL/PARADA;TERM.CENTRO PCA PEREIRA PAROBE;PEREIRA PAROBE                       ;159
2025-11-19 01:58:34.480051;653;CENTROBAIRROCENTRO;1;TERMINAL/PARADA;TERMINAL CPC;RUI BARBOSA                          ;6775
2025-11-19 01:58:34.480051;653;CENTROBAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL CPC;RUI BARBOSA                          ;6775
2025-11-19 01:58:34.480051;659;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL CPC;PCA RUI BARBOSA;3670
2025-11-19 01:58:34.480051;6651;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL CPC;PCA RUI BARBOSA;3670
2025-11-19 01:58:34.480051;6651;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL CPC;PCA RUI BARBOSA;3670
2025-11-19 01:58:34.480051;6651;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL CPC;PCA RUI BARBOSA;3670
2025-11-19 01:58:34.480051;6333;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL CPC;PCA RUI BARBOSA;3670
2025-11-19 01:58:34.480051;SD72;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL CPC;PCA RUI BARBOSA;3670
2025-11-19 01:58:34.480051;SD72;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL CPC;PCA RUI BARBOSA;3670
2025-11-19 01:58:34.480051;SD72;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL CPC;PCA RUI BARBOSA;3670
2025-11-19 01:58:34.480051;6102;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL CPC;PCA RUI BARBOSA;3670
2025-11-19 01:58:34.480051;211;CENTROBAIRRO;1;TERMINAL/PARADA;TERM. BORGES DE MEDEIROS;AV BORGES DE MEDEIROS;667
2025-11-19 01:58:34.480051;2541;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM. BORGES DE MEDEIROS;AV BORGES DE MEDEIROS;212
2025-11-19 01:58:34.480051;360;CENTROBAIRRO;1;TERMINAL/PARADA;TERM. BORGES DE MEDEIROS;AV BORGES DE MEDEIROS;86
2025-11-19 01:58:34.480051;25612;CENTROBAIRRO;1;TERMINAL/PARADA;TERM. BORGES DE MEDEIROS;AV BORGES DE MEDEIROS;75
2025-11-19 01:58:34.480051;283;CENTROBAIRRO;1;TERMINAL/PARADA;TERM. BORGES DE MEDEIROS;AV BORGES DE MEDEIROS;61
2025-11-19 01:58:34.480051;718;BAIRROCENTRO;1;TERMINAL/PARADA;TERM. BAIRRO ILHA MAUA;ILHA MAUA                            ;7182
2025-11-19 01:58:34.480051;718;CENTROBAIRRO;99999;TERMINAL/PARADA;TERM. BAIRRO ILHA MAUA;ILHA MAUA                            ;7182
2025-11-19 01:58:34.480051;T44;NORTESUL;99999;TERMINAL/PARADA;TERM.SUL AV DIARIO DE NOTICIAS;DIARIO DE NOTICIAS                   ;3950
2025-11-19 01:58:34.480051;T44;SULNORTE;1;TERMINAL/PARADA;TERM.SUL AV DIARIO DE NOTICIAS;DIARIO DE NOTICIAS                   ;3950
2025-11-19 01:58:34.480051;T44;SULNORTE;1;TERMINAL/PARADA;TERM.SUL AV DIARIO DE NOTICIAS;DIARIO DE NOTICIAS                   ;3950
2025-11-19 01:58:34.480051;1102;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL DIÁRIO DE NOTÍCIAS;DIARIO DE NOTICIAS                   ;24522
2025-11-19 01:58:34.480051;286;BAIRROTERMINAL;99999;TERMINAL/PARADA;TERM AV DIÁRIO DE NOTÍCIAS;DIARIO DE NOTICIAS                   ;28688
2025-11-19 01:58:34.480051;EC03;BAIRROTERMINAL;1;TERMINAL/PARADA;TERM.AC JOCKEY PELA D NOTICIAS;DIARIO DE NOTICIAS                   ;3140
2025-11-19 01:58:34.480051;111;CENTROBAIRRO;1;TERMINAL/PARADA;TERM. LOUREIRO DA SILVA;AV LOUREIRO DA SILVA;887
2025-11-19 01:58:34.480051;189;BAIRROCENTRO;1;TERMINAL/PARADA;TERM.BAIRRO RUA DA FE;FE                                   ;1870
2025-11-19 01:58:34.480051;244;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL URUGUAI;URUGUAI                              ;94
2025-11-19 01:58:34.480051;173;BAIRROCENTRO;1;TERMINAL/PARADA;TERM.DR.PEREIRA NETO/D.PAULINA;DR PEREIRA NETO                      ;1731
2025-11-19 01:58:34.480051;T3;NORTESUL;99999;TERMINAL/PARADA;TERM.SUL AV DIARIO DE NOTICIAS;DIARIO DE NOTICIAS                   ;3950
2025-11-19 01:58:34.480051;264;BAIRROCENTRO;1;TERMINAL/PARADA;TERM AV DIÁRIO DE NOTÍCIAS;AV DIARIO DE NOTICIAS;484
2025-11-19 01:58:34.480051;264;BAIRROCENTRO;1;TERMINAL/PARADA;TERM AV DIÁRIO DE NOTÍCIAS;AV DIARIO DE NOTICIAS;484
2025-11-19 01:58:34.480051;F993;BAIRROCENTRO;1;TERMINAL/PARADA;TERM.ESTADIO BEIRA RIO - RUA A;PADRE CACIQUE                        ;1670
2025-11-19 01:58:34.480051;4925;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM. J DE CASTILHOS/VIGARIO;JULIO DE CASTILHOS                   ;1250
2025-11-19 01:58:34.480051;EC01;BAIRROCENTRO;1;TERMINAL/PARADA;TERM. AV. BORGES DE MEDEIROS;BORGES DE MEDEIROS                   ;2055
2025-11-19 01:58:34.480051;EC07;BAIRROCENTRO;1;TERMINAL/PARADA;TERM. AV. BORGES DE MEDEIROS;BORGES DE MEDEIROS                   ;2060
2025-11-19 01:58:34.480051;2802;CENTROBAIRRO;99999;TERMINAL/PARADA;TERM.PROF.CECILIA CORSEUIL,285;PROF CECILIA CORSEUIL                ;3743
2025-11-19 01:58:34.480051;T1;NORTESUL;99999;TERMINAL/PARADA;TERMINAL AV.LOUREIRO DA SILVA;LOUREIRO DA SILVA                    ;9843
2025-11-19 01:58:34.480051;1112;CENTROBAIRRO;1;TERMINAL/PARADA;TERM. LOUREIRO DA SILVA;AV LOUREIRO DA SILVA;887
2025-11-19 01:58:34.480051;2632;BAIRROCENTRO;1;TERMINAL/PARADA;TERM. BAIRRO R. DONA CRISTINA;DONA CRISTINA                        ;2630
2025-11-19 01:58:34.480051;176;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL CENTRO RUA URUGUAI;URUGUAI                              ;210
2025-11-19 01:58:34.480051;282;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL URUGUAI;URUGUAI                              ;62
2025-11-19 01:58:34.480051;2552;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL URUGUAI;URUGUAI                              ;93
2025-11-19 01:58:34.480051;2552;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL URUGUAI;URUGUAI                              ;93
2025-11-19 01:58:34.480051;2552;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL URUGUAI;URUGUAI                              ;93
2025-11-19 01:58:34.480051;4911;CENTROBAIRRO;1;TERMINAL/PARADA;TERM. J DE CASTILHOS/VIGARIO;JULIO DE CASTILHOS                   ;1250
2025-11-19 01:58:34.480051;4733;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL AV.BORGES DE MEDEIROS;AV BORGES DE MEDEIROS;2522
2025-11-19 01:58:34.480051;4733;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL AV.BORGES DE MEDEIROS;AV BORGES DE MEDEIROS;2522
2025-11-19 01:58:34.480051;4733;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL AV.BORGES DE MEDEIROS;AV BORGES DE MEDEIROS;2522
2025-11-19 01:58:34.480051;D18;BAIRROCENTRO;1;TERMINAL/PARADA;TERM. BAIRRO ILHA MAUA;ILHA MAUA                            ;7182
2025-11-19 01:58:34.480051;1713;TERMINALBAIRRO;1;TERMINAL/PARADA;TERM.WENC./COL.3 DE OUTUBRO;WENCESLAU ESCOBAR                    ;1988
2025-11-19 01:58:34.480051;476;BAIRROCENTRO;1;TERMINAL/PARADA;TERM.BAIRRO AV. IPIRANGA;IPIRANGA                             ;4761
2025-11-19 01:58:34.480051;2721;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL URUGUAI;URUGUAI                              ;93
2025-11-19 01:58:34.480051;343;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL AV.BORGES DE MEDEIROS;AV BORGES DE MEDEIROS;2522
2025-11-19 01:58:34.480051;343;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL AV.BORGES DE MEDEIROS;AV BORGES DE MEDEIROS;2522
2025-11-19 01:58:34.480051;343;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL AV.BORGES DE MEDEIROS;AV BORGES DE MEDEIROS;2522
2025-11-19 01:58:34.480051;C80;BAIRROCENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL CEL MASSOT;CEL MASSOT                           ;60
2025-11-19 01:58:34.480051;263;BAIRROCENTRO;1;TERMINAL/PARADA;TERM. BAIRRO R. DONA CRISTINA;DONA CRISTINA                        ;2630
2025-11-19 01:58:34.480051;195;CENTROBAIRRO;99999;TERMINAL/PARADA;TERMINAL PRACA 40;JANUARIO PEREIRA DA COSTA            ;1951
2025-11-19 01:58:34.480051;314;SULLESTE;99999;TERMINAL/PARADA;TERMINAL AV. IPIRANGA;IPIRANGA                             ;282
2025-11-19 01:58:34.480051;314;LESTESUL;1;TERMINAL/PARADA;TERMINAL AV. IPIRANGA;IPIRANGA                             ;282
2025-11-19 01:58:34.480051;273;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL URUGUAI;URUGUAI                              ;93
2025-11-19 01:58:34.480051;2731;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL URUGUAI;URUGUAI                              ;93
